X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0
7,4,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0
7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0
8,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0
8,6,may,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0
8,6,aug,mon,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,2.5
8,6,aug,tue,92.3,88.9,495.6,15.2,24.1,27,4.5,0.0,3.1
8,6,sep,wed,91.7,102.2,529.8,10.9,19.6,35,3.1,0.0,0.0
8,6,sep,thu,91.7,103.9,535.3,10.0,18.7,39,2.7,0.0,1.8
8,6,sep,fri,91.7,111.2,541.8,12.9,21.1,34,3.6,0.0,0.4
