Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
1,337,118,4,4.5,4.5,9.65,1,0.92
2,324,107,4,4.0,4.5,8.87,1,0.76
3,316,104,3,3.0,3.5,8.00,1,0.72
4,322,110,3,3.5,2.5,8.67,1,0.80
5,314,103,2,2.0,3.0,8.21,0,0.65
6,330,115,5,4.5,3.0,9.34,1,0.90
7,321,109,3,3.0,4.0,8.20,1,0.75
8,308,101,2,3.0,4.0,7.90,0,0.68
9,302,102,1,2.0,1.5,8.00,0,0.50
10,323,108,3,3.5,3.0,8.60,0,0.80
11,325,106,3,3.5,4.0,8.40,1,0.79
12,327,111,4,4.0,4.5,9.10,1,0.84
13,328,112,4,4.0,4.0,9.00,1,0.86
14,307,109,3,4.0,3.0,8.00,0,0.62
15,311,104,2,3.0,2.0,8.20,0,0.60
16,314,105,3,3.5,2.5,8.30,0,0.66
17,317,107,3,4.0,3.0,8.70,0,0.71
18,319,106,3,3.5,2.5,8.40,0,0.73
19,318,110,3,4.0,3.0,8.80,1,0.78
20,303,102,2,2.5,2.5,8.00,0,0.55
